Fe,Si,Al,B,P,Cu,Ag,Au,V,Cr,Zr,Nb,Mo,W,Pr,Gd,TA,tA,ln(Grain Diameter (nm))
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,773,3600,2.140066163
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,853,3600,2.396403848
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,1113,1800,2.58021683
83.44,3.89,0,7.92,4.06,0.69,0,0,0,0,0,0,0,0,0,0,653,600,3.453621535
68.5,13.5,5,9,0,1,0,0,0,0,0,3,0,0,0,0,793,3600,2.334204249
84.32,3.87,0,7.59,4.16,0,0.05,0,0,0,0,0,0,0,0,0,653,600,3.857731498
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,796,3600,2.442347035
71.5,13.5,2,9,0,1,0,0,0,0,0,1.5,1.5,0,0,0,813,3600,2.314085355
73.1,17.5,0.4,5,0,1,0,0,0,0,0,3,0,0,0,0,823,1800,2.388730024
79,0,0,9,0,0,0,0,0,0,0,0,0,12,0,0,653,3600,2.079441542
73,13.5,0,9,0,1.5,0,0,0,0,0,3,0,0,0,0,823,3600,2.393627068
73.5,13.5,0,9,0,1,0,0,1.5,0,0,1.5,0,0,0,0,833,1800,2.397895273
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,753,1800,1.223775432
72.9,17.5,0.6,5,0,1,0,0,0,0,0,3,0,0,0,0,823,1800,2.384296737
83.47,3.89,0,7.88,4.04,0,0,0.71,0,0,0,0,0,0,0,0,723,600,3.689796465
73.6,15.8,0,7.2,0,1,0,0,0,0,0,2.4,0,0,0,0,693,1800,0.78845736
83.44,3.89,0,7.92,4.06,0.69,0,0,0,0,0,0,0,0,0,0,723,600,2.685160244
86,1,0,8,4,1,0,0,0,0,0,0,0,0,0,0,732.8121086,600,2.944438979
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,723,1800,0.993251773
74.5,13.5,0,9,0,0,0,0,0,0,0,3,0,0,0,0,803.15,3600,3.222919638
84.32,3.87,0,7.59,4.16,0,0.05,0,0,0,0,0,0,0,0,0,633,600,3.577896639
73,15.8,0,7.2,0,1,0,0,0,0,0,3,0,0,0,0,813,1800,2.066862759
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,783,1500,2.397895273
73.5,13.5,0,9,0,1,0,0,0,0,0,3,0,0,0,0,848,3600,2.517696473
71.5,13.5,2,9,0,1,0,0,0,0,0,0,3,0,0,0,873,3600,2.819850955
83.3,4,0,8,4,0.7,0,0,0,0,0,0,0,0,0,0,747.7824296,600,2.302585093
74.5,13.5,0,9,0,0,0,0,0,0,0,3,0,0,0,0,823,3600,3.735396982
71.5,13.5,2,9,0,1,0,0,0,0,0,3,0,0,0,0,753,3600,2.14064
