Fe,Si,B,Cu,Nb,Mo,Zr,Al,C,P,Co,V,Hf,Y,W,U,Ga,Ge,Gd,Au,Ag,HR,Tx1
52,2,13,1,4,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,5,712
52.65,2,12,1,4,0,0,0,0,0,28.35,0,0,0,0,0,0,0,0,0,0,5,698
53.3,2,11,1,4,0,0,0,0,0,28.7,0,0,0,0,0,0,0,0,0,0,5,689
53.95,2,10,1,4,0,0,0,0,0,29.05,0,0,0,0,0,0,0,0,0,0,5,688
53.95,2,13,1,1,0,0,0,0,0,29.05,0,0,0,0,0,0,0,0,0,0,5,681
54.6,2,12,1,1,0,0,0,0,0,29.4,0,0,0,0,0,0,0,0,0,0,5,672
83,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,5,626
83,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,10,631
83,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,15,638
83,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,20,646
84,0,10,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,686
83.5,0,10,0.5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,683
83.3,0,10,0.7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,676
83,0,10,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,676
82.85,0,10,1.15,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,670
82.7,0,10,1.3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,627
83,0,10,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,674
83,1,10,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,40,675
83,2,10,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,40,676
83,3,10,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,40,677
83,4,10,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,678
86,0,7,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,40,607
85.5,0,7,0.5,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,40,609
85.5,1,7,0.5,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,40,612
85,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,673
84.4,0,15,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,680
83.8,0,15,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,664
83.2,0,0,0.8,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,40,646
79.2,0,0,0.8,0,0,0,0,6,10,4,0,0,0,0,0,0,0,0,0,0,40,647
77.2,0,0,0.8,0,0,0,0,6,10,6,0,0,0,0,0,0,0,0,0,0,40,649
75.2,0,0,0.8,0,0,0,0,6,10,8,0,0,0,0,0,0,0,0,0,0,40,649
73.2,0,0,0.8,0,0,0,0,6,10,10,0,0,0,0,0,0,0,0,0,0,40,651
83.2,0,0,0.8,0,0,0,0,6,10,0,0,0,0,0,0,0,0,0,0,0,40,568
83.2,0,1,0.8,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,40,573
83.2,0,2,0.8,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,40,582
83.2,0,3,0.8,0,0,0,0,6,7,0,0,0,0,0,0,0,0,0,0,0,40,586
83.2,0,4,0.8,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,40,588
83.2,0,5,0.8,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,40,590
81.3,8,9,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,639
81.3,6,11,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,637
81.3,4,13,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,633
81.3,2,15,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,645
81.3,0,17,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,656
84,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,773
84,0,7,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,40,761
84,0,5,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,40,745
84,0,3,0,7,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,40,717
84,0,5,0,7,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,40,744
84,0,5,0,5,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,40,762
84,0,5,0,3.5,0,0,0,0,4,0,0,3.5,0,0,0,0,0,0,0,0,40,777
68,1,12,0.5,0,0,0,0,0,0,17,0.5,0,1,0,0,0,0,0,0,0,20,691
68.8,1,11,0.5,0,0,0,0,0,0,17.2,0.5,0,1,0,0,0,0,0,0,0,20,671
69.6,1,10,0.5,0,0,0,0,0,0,17.4,0.5,0,1,0,0,0,0,0,0,0,40,670
69.6,1,10,0.5,0,0,0,0,0,0,17.4,0.5,0,1,0,0,0,0,0,0,0,30,665
69.6,1,10,0.5,0,0,0,0,0,0,17.4,0.5,0,1,0,0,0,0,0,0,0,20,660
69.6,1,10,0.5,0,0,0,0,0,0,17.4,0.5,0,1,0,0,0,0,0,0,0,10,648
83,0,4,1,0,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0,0,40,667
84,0,3.75,1,0,0,0,0,3.75,7.5,0,0,0,0,0,0,0,0,0,0,0,40,664
84.5,0,3.625,1,0,0,0,0,3.625,7.25,0,0,0,0,0,0,0,0,0,0,0,40,657
85,0,3.5,1,0,0,0,0,3.5,7,0,0,0,0,0,0,0,0,0,0,0,40,654
83.3,0,9,0.7,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,20,683
83.3,1,9,0.7,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,20,686
83.3,2,9,0.7,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,20,690
83.3,3,9,0.7,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,20,688
83.3,4,9,0.7,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,690
84,1,13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,676
83,1,14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,694
82,1,14,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,40,700
82,1,15,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,40,705
74.328,8.802,9.78,0.7,1.5,0,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,40,792
74.556,8.829,9.81,0.7,1.2,0,0,0,0,4.905,0,0,0,0,0,0,0,0,0,0,0,40,788
74.708,8.847,9.83,0.7,1,0,0,0,0,4.915,0,0,0,0,0,0,0,0,0,0,0,40,786
74.86,8.865,9.85,0.7,0.8,0,0,0,0,4.925,0,0,0,0,0,0,0,0,0,0,0,40,783
75.088,8.892,9.88,0.7,0.5,0,0,0,0,4.94,0,0,0,0,0,0,0,0,0,0,0,40,779
75.316,8.919,9.91,0.7,0.2,0,0,0,0,4.955,0,0,0,0,0,0,0,0,0,0,0,40,775
75.468,8.937,9.93,0.7,0,0,0,0,0,4.965,0,0,0,0,0,0,0,0,0,0,0,40,766
83.3,4,8,0.7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,40,673
